year,club,logo,country
2023,Manchester City,https://upload.wikimedia.org/wikipedia/en/e/eb/Manchester_City_FC_badge.svg,England
2022,Real Madrid,https://upload.wikimedia.org/wikipedia/en/5/56/Real_Madrid_CF.svg,Spain
2021,Chelsea,https://upload.wikimedia.org/wikipedia/en/c/cc/Chelsea_FC.svg,England
2020,Bayern Munich,https://upload.wikimedia.org/wikipedia/en/1/1f/FC_Bayern_M%C3%BCnchen_logo_%282017%29.svg,Germany
2019,Liverpool,https://upload.wikimedia.org/wikipedia/en/0/0c/Liverpool_FC.svg,England
2018,Real Madrid,https://upload.wikimedia.org/wikipedia/en/5/56/Real_Madrid_CF.svg,Spain
2017,Real Madrid,https://upload.wikimedia.org/wikipedia/en/5/56/Real_Madrid_CF.svg,Spain
2016,Real Madrid,https://upload.wikimedia.org/wikipedia/en/5/56/Real_Madrid_CF.svg,Spain
2015,Barcelona,https://upload.wikimedia.org/wikipedia/en/4/47/FC_Barcelona_%28crest%29.svg,Spain
2014,Real Madrid,https://upload.wikimedia.org/wikipedia/en/5/56/Real_Madrid_CF.svg,Spain
