Year,Winner
1956,Real Madrid (ESP)
1957,Real Madrid (ESP)
1958,Real Madrid (ESP)
1959,Real Madrid (ESP)
1960,Real Madrid (ESP)
1961,SL Benfica (POR)
1962,SL Benfica (POR)
1963,AC Milan (ITA)
1964,Inter Milan (ITA)
1965,Inter Milan (ITA)
1966,Real Madrid (ESP)
1967,Celtic FC (SCO)
1968,Manchester United (ENG)
1969,AC Milan (ITA)
1970,Feyenoord (NED)
1971,AFC Ajax (NED)
1972,AFC Ajax (NED)
1973,AFC Ajax (NED)
1974,Bayern Munich (GER)
1975,Bayern Munich (GER)
1976,Bayern Munich (GER)
1977,Liverpool FC (ENG)
1978,Liverpool FC (ENG)
1979,Nottingham Forest (ENG)
1980,Nottingham Forest (ENG)
1981,Liverpool FC (ENG)
1982,Aston Villa (ENG)
1983,Hamburger SV (GER)
1984,Liverpool FC (ENG)
1985,Juventus (ITA)
1986,Steaua Bucuresti (ROU)
1987,FC Porto (POR)
1988,PSV Eindhoven (NED)
1989,AC Milan (ITA)
1990,AC Milan (ITA)
1991,Red Star Belgrade (SRB)
1992,FC Barcelona (ESP)
1993,Olympique de Marseille (FRA)
1994,AC Milan (ITA)
1995,AFC Ajax (NED)
1996,Juventus (ITA)
1997,Borussia Dortmund (GER)
1998,Real Madrid (ESP)
1999,Manchester United (ENG)
2000,Real Madrid (ESP)
2001,Bayern Munich (GER)
2002,Real Madrid (ESP)
2003,AC Milan (ITA)
2004,FC Porto (POR)
2005,Liverpool FC (ENG)
2006,FC Barcelona (ESP)
2007,AC Milan (ITA)
2008,Manchester United (ENG)
2009,FC Barcelona (ESP)
2010,Inter Milan (ITA)
2011,FC Barcelona (ESP)
2012,Chelsea FC (ENG)
2013,Bayern Munich (GER)
2014,Real Madrid (ESP)
2015,FC Barcelona (ESP)
2016,Real Madrid (ESP)
2017,Real Madrid (ESP)
2018,Real Madrid (ESP)
2019,Liverpool FC (ENG)
2020,Bayern Munich (GER)
2021,Chelsea FC (ENG)
2022,Real Madrid (ESP)
2023,Manchester City (ENG)
2024,Real Madrid (ESP)
